"First name";"Last name";"Birth date";"Nationality";"Preferred language";"Address line 1";"Address line 2";"Postal code";"City";"Country code";"Email";"Phone number";"Comment";"Guest comment";"Travel purpose";"Amount of guests";"Amount of adults";"Amount of children";"Check in date";"Check in time";"Check out date";"Check out time";"Unit group";"Unit";"External code";"Channel";"Source";"Rate plan";"Credit card number";"Gross amount";"ID";"Property code";"Booking ID";"Status";"Created at";"Arrival";"Departure";"Number of days";"Guarantee type";"Balance";"Currency";"Company";"Commission";"Price before commission";"Promo code";"Corporate code";"Room move";"Cancellation date";"Cancellation time";"No-show date";"No-show time"
"Mustafa";"Lienshöft";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+mustafa.lienshöft@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"2.005";"";"Direct";"";"Include Breakfast";"1111";116;"QAHDKPXE-1";"VIE";"QAHDKPXE";"Confirmed";"15/10/2021";"28/10/2021";"29/10/2021";1;"Credit Card";-116;"EUR";"";"";"";"";"";"";"";"";"";""
"Maira";"Ponitzsch";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+maira.ponitzsch@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"1.009";"";"Direct";"";"Flexible";"1111";142;"ZDYRPHLA-1";"MUC";"ZDYRPHLA";"Confirmed";"15/10/2021";"28/10/2021";"29/10/2021";1;"Credit Card";-142;"EUR";"";"";"";"";"";"";"";"";"";""
"Dante";"Kirlin";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+dante.kirlin@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"1.001";"";"Direct";"";"Non Refundable";"1111";675;"QRFZEEMT-1";"LND";"QRFZEEMT";"Confirmed";"15/10/2021";"29/10/2021";"3/11/2021";5;"Prepayment";-675;"GBP";"";"";"";"";"";"";"";"";"";""
"Meike";"Schreiner";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+meike.schreiner@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"3.009";"";"Direct";"";"Non Refundable";"1111";92;"UOCUMUQS-1";"VIE";"UOCUMUQS";"Confirmed";"15/10/2021";"29/10/2021";"30/10/2021";1;"Prepayment";-92;"EUR";"";"";"";"";"";"";"";"";"";""
"Haylie";"Beahan";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+haylie.beahan@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"2.009";"";"Direct";"";"Flexible";"1111";1390;"BQWLZPEK-1";"LND";"BQWLZPEK";"Confirmed";"15/10/2021";"30/10/2021";"8/11/2021";9;"Credit Card";-1390;"GBP";"";"";"";"";"";"";"";"";"";""
"Pia";"Markowski";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+pia.markowski@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"3.006";"";"Direct";"";"Include Breakfast";"1111";114;"OVSAIGRZ-1";"BER";"OVSAIGRZ";"Confirmed";"15/10/2021";"30/10/2021";"31/10/2021";1;"Credit Card";-114;"EUR";"";"";"";"";"";"";"";"";"";""
"Norman";"Kleiber";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+norman.kleiber@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"3.009";"";"Direct";"";"Include Breakfast";"1111";117;"IECRZVXI-1";"VIE";"IECRZVXI";"Confirmed";"15/10/2021";"31/10/2021";"1/11/2021";1;"Credit Card";-117;"EUR";"";"";"";"";"";"";"";"";"";""
"Kim";"Peters";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+kim.peters@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"2.008";"";"Direct";"";"Flexible";"1111";117;"NVBRPBEI-1";"MUC";"NVBRPBEI";"Confirmed";"15/10/2021";"31/10/2021";"1/11/2021";1;"Credit Card";-117;"EUR";"";"";"";"";"";"";"";"";"";""
"Merlin";"Reumann";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+merlin.reumann@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"2.006";"";"Direct";"";"Include Breakfast";"1111";329;"PNZYPFOK-1";"MUC";"PNZYPFOK";"Confirmed";"15/10/2021";"31/10/2021";"2/11/2021";2;"Credit Card";-329;"EUR";"";"";"";"";"";"";"";"";"";""
"Maurice";"Arendt";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+maurice.arendt@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"4.008";"";"Direct";"";"Non Refundable";"1111";49;"BPCIWUGM-1";"BER";"BPCIWUGM";"Confirmed";"15/10/2021";"2/11/2021";"3/11/2021";1;"Prepayment";-49;"EUR";"";"";"";"";"";"";"";"";"";""
"Eliah";"Hübenbecker";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+eliah.hübenbecker@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"4.002";"";"Direct";"";"Flexible";"1111";139;"IVYREIUK-1";"BER";"IVYREIUK";"Confirmed";"15/10/2021";"2/11/2021";"4/11/2021";2;"Credit Card";-139;"EUR";"";"";"";"";"";"";"";"";"";""
"Dayana";"Kassulke";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+dayana.kassulke@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Family room";"3.001";"";"Direct";"";"Non Refundable Family";"1111";134;"XJCGMEWR-1";"LND";"XJCGMEWR";"Confirmed";"15/10/2021";"2/11/2021";"3/11/2021";1;"Prepayment";-134;"GBP";"";"";"";"";"";"";"";"";"";""
"Francesco";"Pfeffer";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+francesco.pfeffer@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Family room";"3.002";"";"Direct";"";"Non Refundable Family";"1111";840;"ZCKDCHKZ-1";"LND";"ZCKDCHKZ";"Confirmed";"15/10/2021";"4/11/2021";"10/11/2021";6;"Prepayment";-840;"GBP";"";"";"";"";"";"";"";"";"";""
"Giuseppe";"Überacker";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+giuseppe.überacker@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Family room";"3.002";"";"Direct";"";"Non Refundable Family";"1111";807;"NYYCDBSM-1";"MUC";"NYYCDBSM";"Confirmed";"15/10/2021";"5/11/2021";"12/11/2021";7;"Prepayment";-807;"EUR";"";"";"";"";"";"";"";"";"";""
"Jordyn";"O'Keefe";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+jordyn.o'keefe@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"G.015";"";"Direct";"";"Flexible";"1111";276;"XKXUVGRK-1";"LND";"XKXUVGRK";"Confirmed";"15/10/2021";"7/11/2021";"9/11/2021";2;"Credit Card";-276;"GBP";"";"";"";"";"";"";"";"";"";""
"Boris";"Gerlach";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+boris.gerlach@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Family room";"3.001";"";"Direct";"";"Non Refundable Family";"1111";122;"QPFKGWRP-1";"LND";"QPFKGWRP";"Confirmed";"15/10/2021";"8/11/2021";"9/11/2021";1;"Prepayment";-122;"GBP";"";"";"";"";"";"";"";"";"";""
"Jakob";"Lowe";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+jakob.lowe@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"1.007";"";"Direct";"";"Flexible";"1111";111;"AFPQEUKE-1";"LND";"AFPQEUKE";"Confirmed";"15/10/2021";"9/11/2021";"10/11/2021";1;"Credit Card";-111;"GBP";"";"";"";"";"";"";"";"";"";""
"Noel";"Moser";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+noel.moser@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"2.017";"";"Direct";"";"Flexible";"1111";94;"QYQVCKHK-1";"MUC";"QYQVCKHK";"Confirmed";"15/10/2021";"10/11/2021";"11/11/2021";1;"Credit Card";-94;"EUR";"";"";"";"";"";"";"";"";"";""
"Ylvi";"Brix";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+ylvi.brix@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"1.013";"";"Direct";"";"Include Breakfast";"1111";319;"JACBBWAO-1";"MUC";"JACBBWAO";"Confirmed";"15/10/2021";"13/11/2021";"15/11/2021";2;"Credit Card";-319;"EUR";"";"";"";"";"";"";"";"";"";""
"Imke";"Sagonas";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+imke.sagonas@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"1.020";"";"Direct";"";"Non Refundable";"1111";185;"SNTMBGJW-1";"BER";"SNTMBGJW";"Confirmed";"15/10/2021";"15/11/2021";"17/11/2021";2;"Prepayment";-185;"EUR";"";"";"";"";"";"";"";"";"";""
"Pascal";"Co";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+pascal.co@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"G.016";"";"Direct";"";"Include Breakfast";"1111";137;"YALSLTMR-1";"MUC";"YALSLTMR";"Confirmed";"15/10/2021";"16/11/2021";"17/11/2021";1;"Credit Card";-137;"EUR";"";"";"";"";"";"";"";"";"";""
"Isai";"Kreiger";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+isai.kreiger@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Family room";"3.001";"";"Direct";"";"Non Refundable Family";"1111";495;"TMTFRKBD-1";"LND";"TMTFRKBD";"Confirmed";"15/10/2021";"20/11/2021";"24/11/2021";4;"Prepayment";-495;"GBP";"";"";"";"";"";"";"";"";"";""
"Rashad";"Sipes";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+rashad.sipes@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"G.008";"";"Direct";"";"Non Refundable";"1111";96;"QBLRCCON-1";"LND";"QBLRCCON";"Confirmed";"15/10/2021";"20/11/2021";"21/11/2021";1;"Prepayment";-96;"GBP";"";"";"";"";"";"";"";"";"";""
"Amon";"Spielvogel";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+amon.spielvogel@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"3.009";"";"Direct";"";"Include Breakfast";"1111";128;"REEITYVA-1";"VIE";"REEITYVA";"Confirmed";"15/10/2021";"26/11/2021";"27/11/2021";1;"Credit Card";-128;"EUR";"";"";"";"";"";"";"";"";"";""
"Ciara";"Lakin";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+ciara.lakin@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Family room";"3.002";"";"Direct";"";"Non Refundable Family";"1111";348;"JPFEVCUC-1";"LND";"JPFEVCUC";"Confirmed";"15/10/2021";"1/12/2021";"4/12/2021";3;"Prepayment";-348;"GBP";"";"";"";"";"";"";"";"";"";""
"Joy";"Spinner";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+joy.spinner@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"4.003";"";"Direct";"";"Non Refundable";"1111";490;"GLXCLRGA-1";"VIE";"GLXCLRGA";"Confirmed";"15/10/2021";"1/12/2021";"10/12/2021";9;"Prepayment";-490;"EUR";"";"";"";"";"";"";"";"";"";""
"Matteo";"Glatting";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+matteo.glatting@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"4.014";"";"Direct";"";"Include Breakfast";"1111";244;"BDGYFDYD-1";"VIE";"BDGYFDYD";"Confirmed";"15/10/2021";"4/12/2021";"6/12/2021";2;"Credit Card";-244;"EUR";"";"";"";"";"";"";"";"";"";""
"Marlene";"Hillard";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+marlene.hillard@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"1.013";"";"Direct";"";"Include Breakfast";"1111";172;"GXNXFXVS-1";"MUC";"GXNXFXVS";"Confirmed";"15/10/2021";"11/12/2021";"12/12/2021";1;"Credit Card";-172;"EUR";"";"";"";"";"";"";"";"";"";""
"Elias";"Jungton";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+elias.jungton@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"G.016";"";"Direct";"";"Flexible";"1111";250;"KRHYZYJV-1";"MUC";"KRHYZYJV";"Confirmed";"15/10/2021";"13/12/2021";"15/12/2021";2;"Credit Card";-250;"EUR";"";"";"";"";"";"";"";"";"";""
"Frieda";"Sammert";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+frieda.sammert@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"1.005";"";"Direct";"";"Non Refundable";"1111";378;"KBXRXNZB-1";"MUC";"KBXRXNZB";"Confirmed";"15/10/2021";"13/12/2021";"16/12/2021";3;"Prepayment";-378;"EUR";"";"";"";"";"";"";"";"";"";""
"Sanja";"Hördt";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+sanja.hördt@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"1.001";"";"Direct";"";"Include Breakfast";"1111";313;"YIAMPIWG-1";"MUC";"YIAMPIWG";"Confirmed";"15/10/2021";"16/12/2021";"18/12/2021";2;"Credit Card";-313;"EUR";"";"";"";"";"";"";"";"";"";""
"Saphira";"Dietrich";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+saphira.dietrich@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Single";"3.011";"";"Direct";"";"Flexible";"1111";574;"TPIRMDIB-1";"VIE";"TPIRMDIB";"Confirmed";"15/10/2021";"17/12/2021";"25/12/2021";8;"Credit Card";-574;"EUR";"";"";"";"";"";"";"";"";"";""
"Nikolas";"Borrmann";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+nikolas.borrmann@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"4.015";"";"Direct";"";"Include Breakfast";"1111";134;"UQZPJWQO-1";"BER";"UQZPJWQO";"Confirmed";"15/10/2021";"20/12/2021";"21/12/2021";1;"Credit Card";-134;"EUR";"";"";"";"";"";"";"";"";"";""
"Jerome";"Auer";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+jerome.auer@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"G.015";"";"Direct";"";"Include Breakfast";"1111";368;"ERTUKDVR-1";"VIE";"ERTUKDVR";"Confirmed";"15/10/2021";"22/12/2021";"25/12/2021";3;"Credit Card";-368;"EUR";"";"";"";"";"";"";"";"";"";""
"Ecrin";"Ostendarp";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+ecrin.ostendarp@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"4.015";"";"Direct";"";"Flexible";"1111";125;"SFSDHLPE-1";"VIE";"SFSDHLPE";"Confirmed";"15/10/2021";"26/12/2021";"27/12/2021";1;"Credit Card";-125;"EUR";"";"";"";"";"";"";"";"";"";""
"Maximillia";"Romaguera";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+maximillia.romaguera@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"2.015";"";"Direct";"";"Flexible";"1111";397;"QYUHNFEK-1";"LND";"QYUHNFEK";"Confirmed";"15/10/2021";"26/12/2021";"29/12/2021";3;"Credit Card";-397;"GBP";"";"";"";"";"";"";"";"";"";""
"Melinda";"Achkinadze";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+melinda.achkinadze@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"1.012";"";"Direct";"";"Non Refundable";"1111";127;"WTDNQLYB-1";"MUC";"WTDNQLYB";"Confirmed";"15/10/2021";"12/1/2022";"13/1/2022";1;"Prepayment";-127;"EUR";"";"";"";"";"";"";"";"";"";""
"Rebecca";"Bürklein";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+rebecca.bürklein@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"1.005";"";"Direct";"";"Include Breakfast";"1111";112;"FABAEOFI-1";"BER";"FABAEOFI";"Confirmed";"15/10/2021";"15/1/2022";"16/1/2022";1;"Credit Card";-112;"EUR";"";"";"";"";"";"";"";"";"";""
"Joanie";"Smith";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+joanie.smith@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"2.009";"";"Direct";"";"Non Refundable";"1111";123;"OYRHALRA-1";"LND";"OYRHALRA";"Confirmed";"15/10/2021";"6/2/2022";"7/2/2022";1;"Prepayment";-123;"GBP";"";"";"";"";"";"";"";"";"";""
"Larry";"Kshlerin";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+larry.kshlerin@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"1.001";"";"Direct";"";"Include Breakfast";"1111";160;"AXEGMZWQ-1";"LND";"AXEGMZWQ";"Confirmed";"15/10/2021";"12/2/2022";"13/2/2022";1;"Credit Card";-160;"GBP";"";"";"";"";"";"";"";"";"";""
"Laureen";"Wittich";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+laureen.wittich@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Double";"1.005";"";"Direct";"";"Flexible";"1111";147;"CNKRCVXM-1";"MUC";"CNKRCVXM";"Confirmed";"15/10/2021";"16/2/2022";"17/2/2022";1;"Credit Card";-147;"EUR";"";"";"";"";"";"";"";"";"";""
"Rosalind";"Spinka";"15/10/1990";"";"";"22 Limerick Road";"";"B3 1JK";"Birmingham";"GB";"daisy01.sunshine01+rosalind.spinka@gmail.com";"+4989123343";"";"";"";1;1;0;"";"";"";"";"Family room";"3.002";"";"Direct";"";"Flexible Family";"1111";278;"REJIZLDW-1";"LND";"REJIZLDW";"Confirmed";"15/10/2021";"28/2/2022";"2/3/2022";2;"Credit Card";-278;"GBP";"";"";"";"";"";"";"";"";"";""
"Tillmann";"Heck";"15/10/1990";"";"";"Leopoldstraße 8-10";"";"80802";"München";"DE";"daisy01.sunshine01+tillmann.heck@gmail.com";"+4989123343";"";"";"";2;2;0;"";"";"";"";"Double";"2.010";"";"Direct";"";"Flexible";"1111";127;"FGMHVNQY-1";"VIE";"FGMHVNQY";"Confirmed";"15/10/2021";"8/4/2022";"9/4/2022";1;"Credit Card";-127;"EUR";"";"";"";"";"";"";"";"";"";""
